cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-color,stalk-shape,population,habitat,class
x,s,n,p,c,k,e,s,u,p
x,s,y,a,c,k,e,n,g,e
b,s,w,l,c,n,e,n,m,e
x,y,w,p,c,n,e,s,u,p
x,s,g,n,w,k,t,a,g,e
x,y,y,a,c,n,e,n,g,e
b,s,w,a,c,g,e,n,m,e
b,y,w,l,c,n,e,s,m,e
x,y,w,p,c,p,e,v,g,p
b,s,y,a,c,g,e,s,m,e
x,y,y,l,c,g,e,n,g,e
x,y,y,a,c,n,e,s,m,e
b,s,y,a,c,w,e,s,g,e
x,y,w,p,c,k,e,v,u,p
x,f,n,n,w,n,t,a,g,e
s,f,g,n,c,k,e,y,u,e
f,f,w,n,w,k,t,a,g,e
x,s,n,p,c,n,e,s,g,p
x,y,w,p,c,n,e,s,u,p
x,s,n,p,c,k,e,s,u,p
b,s,y,a,c,k,e,s,m,e
x,y,n,p,c,n,e,v,g,p
b,y,y,l,c,k,e,s,m,e
b,y,w,a,c,w,e,n,m,e
b,s,w,l,c,g,e,s,m,e
f,s,w,p,c,n,e,v,g,p
x,y,y,a,c,n,e,n,m,e
x,y,w,l,c,w,e,n,m,e
f,f,n,n,c,k,e,y,u,e
x,s,y,a,w,n,t,v,d,e
b,s,y,l,c,g,e,n,m,e
x,y,w,p,c,k,e,s,u,p
x,y,y,l,c,n,e,n,m,e
x,y,n,l,c,p,e,y,p,e
b,y,y,l,c,n,e,s,m,e
x,f,y,l,w,w,t,v,d,e
s,f,g,n,c,k,e,v,u,e
x,y,n,p,c,w,e,s,u,p
x,f,y,a,w,p,t,v,d,e
b,s,y,l,c,k,e,s,m,e
b,y,y,a,c,n,e,s,g,e
x,y,y,l,c,n,e,y,p,e
x,f,n,n,c,g,e,y,u,e
x,y,w,p,c,p,e,v,g,p
x,s,y,a,c,w,e,n,m,e
x,y,w,a,c,n,e,n,g,e
x,y,y,l,c,k,e,s,m,e
x,s,w,l,c,w,e,n,m,e
x,y,y,l,c,n,e,s,p,e
f,y,y,l,c,w,e,s,p,e
x,y,n,a,c,w,e,s,g,e
x,s,w,l,c,k,e,s,g,e
b,s,w,l,c,k,e,n,m,e
x,y,n,p,c,k,e,v,u,p
x,s,w,p,c,k,e,v,u,p
b,y,y,a,c,w,e,s,m,e
f,f,g,n,w,n,t,a,g,e
b,s,w,a,c,w,e,n,g,e
x,s,y,l,c,k,e,n,g,e
x,y,n,a,c,p,e,y,p,e
s,f,g,n,c,k,e,v,u,e
b,y,y,a,c,k,e,s,m,e
b,s,y,l,c,g,e,s,m,e
b,y,y,l,c,g,e,n,m,e
b,y,w,l,c,n,e,s,g,e
f,s,n,n,w,k,t,a,g,e
x,s,w,l,c,n,e,s,g,e
f,y,y,a,c,w,e,s,g,e
x,y,y,a,c,w,e,n,g,e
x,f,g,n,c,p,e,v,u,e
f,f,y,l,w,p,t,v,d,e
b,y,w,l,c,g,e,s,m,e
f,f,y,l,w,w,t,v,d,e
x,y,n,a,c,p,e,s,p,e
b,s,y,a,c,k,e,s,g,e
f,s,y,l,w,p,t,v,d,e
x,s,w,l,w,n,t,v,d,e
f,y,n,l,c,p,e,y,p,e
x,y,n,p,c,w,e,v,u,p
f,y,n,a,c,n,e,y,g,e
x,s,n,n,w,k,t,s,g,e
x,y,w,p,c,w,e,s,g,p
f,f,g,n,c,n,e,y,u,e
x,f,g,n,w,n,t,s,g,e
x,y,y,l,c,w,e,s,g,e
x,s,n,n,w,k,t,s,g,e
b,s,w,a,c,w,e,s,g,e
x,s,w,l,c,n,e,s,g,e
f,y,n,l,c,w,e,y,g,e
s,f,n,n,c,n,e,v,u,e
x,f,n,n,c,n,e,y,u,e
b,s,w,l,c,k,e,s,g,e
x,y,y,a,c,g,e,s,g,e
x,y,y,l,c,g,e,n,m,e
x,s,n,n,w,n,t,a,g,e
x,s,w,a,c,g,e,s,g,e
f,y,n,l,c,p,e,s,g,e
x,s,y,a,c,n,e,n,g,e
b,s,w,a,c,g,e,s,g,e
x,y,w,a,c,g,e,s,g,e
x,f,n,n,w,p,t,s,g,e
b,s,y,l,c,n,e,n,g,e
f,y,y,l,c,w,e,s,g,e
x,y,y,a,c,n,e,y,p,e
b,y,w,l,c,g,e,n,g,e
x,y,y,a,c,n,e,n,m,e
x,y,y,a,c,w,e,y,g,e
b,y,w,l,c,n,e,s,m,e
b,y,w,a,c,g,e,s,m,e
x,s,y,a,c,k,e,n,m,e
x,s,y,l,c,w,e,n,g,e
s,f,g,n,c,g,e,y,u,e
x,f,w,a,w,w,t,v,d,e
x,s,y,a,c,n,e,n,m,e
x,y,w,p,c,n,e,v,u,p
x,y,y,l,c,p,e,s,g,e
s,f,g,n,c,p,e,y,u,e
x,y,y,l,c,w,e,y,g,e
x,s,y,l,w,p,t,v,d,e
s,f,n,n,c,k,e,y,u,e
x,s,w,p,c,k,e,v,g,p
x,y,w,a,c,g,e,n,m,e
f,y,n,p,c,p,e,v,g,p
f,s,g,n,w,k,t,a,g,e
x,s,y,l,c,g,e,s,m,e
x,s,w,n,w,n,t,s,g,e
b,s,y,a,c,w,e,n,g,e
